"#"	"Allottee"	"Area"	"AreaCode"	"AccessCode"	"RangeStart"	"RangeEnd"	"TotalLines"
1	"101 Communications Limited"	"Lagos"	"0201"	"249"	"2012490000"	"2012499999"	10000
2	"21st Century Technologies Limited"	"Lagos"	"0201"	"224"	"2012240000"	"2012249999"	10000
3	"21st Century Technologies Limited"	"Lagos"	"0201"	"225"	"2012250000"	"2012259999"	10000
4	"21st Century Technologies Limited"	"Lagos"	"0201"	"226"	"2012260000"	"2012269999"	10000
5	"21st Century Technologies Limited"	"Lagos"	"0201"	"235"	"2012350000"	"2012359999"	10000
6	"21st Century Technologies Limited"	"Lagos"	"0201"	"236"	"2012360000"	"2012369999"	10000
7	"21st Century Technologies Limited"	"Lagos"	"0201"	"270"	"2012700000"	"2012709999"	10000
8	"21st Century Technologies Limited"	"Lagos"	"0201"	"271"	"2012710000"	"2012719999"	10000
9	"21st Century Technologies Limited"	"Lagos"	"0201"	"277"	"2012770000"	"2012779999"	10000
10	"21st Century Technologies Limited"	"Lagos"	"0201"	"278"	"2012780000"	"2012789999"	10000
11	"21st Century Technologies Limited"	"Lagos"	"0201"	"279"	"2012790000"	"2012799999"	10000
12	"21st Century Technologies Limited"	"Lagos"	"0201"	"280"	"2012800000"	"2012809999"	10000
13	"21st Century Technologies Limited"	"Lagos"	"0201"	"422"	"2014220000"	"2014229999"	10000
14	"21st Century Technologies Limited"	"Lagos"	"0201"	"423"	"2014230000"	"2014239999"	10000
15	"21st Century Technologies Limited"	"Lagos"	"0201"	"448"	"2014480000"	"2014489999"	10000
16	"21st Century Technologies Limited"	"Abuja"	"0209"	"277"	"2092770000"	"2092779999"	10000
17	"21st Century Technologies Limited"	"Abuja"	"0209"	"278"	"2092780000"	"2092780999"	1000
18	"21st Century Technologies Limited"	"Abeokuta"	"02039"	"27"	"2039270000"	"2039270499"	500
19	"21st Century Technologies Limited"	"Warri"	"02053"	"27"	"2053270000"	"2053270999"	1000
20	"21st Century Technologies Limited"	"Kaduna"	"02062"	"27"	"2062270000"	"2062270999"	1000
21	"21st Century Technologies Limited"	"Kano"	"02064"	"27"	"2064270000"	"2064270999"	1000
22	"21st Century Technologies Limited"	"Port Harcourt"	"02084"	"27"	"2084270000"	"2084270999"	1000
23	"21st Century Technologies Limited"	"Port Harcourt"	"02084"	"28"	"2084280000"	"2084289999"	10000
24	"Airtel Networks Limited"	"National"	"0701"	"701"	"7010000000"	"7019999999"	10000000
