"Airtel Networks Limited"	"Airtel"
"Alpha Technologies Ltd"	"Alpha"
"BillyRonks Global Limited"	"BillyRonks"
"CallMe Nigeria Limited"	"CallMe"
"Cedarview Communications Limited"	"Cedarview"
"EMTS Limited (9Mobile)"	"EMTS_9Mobile"
"Glo Mobile"	"Glo"
"GTS InfoTel Nigeria Limited"	"GTS"
"Intarvas Communications Limited"	"Intarvas"
"Interconnect Clearinghouse Nig. Limited"	"ICN"
"Interra Networks Limited"	"Interra"
"IT Sky Solutions Limited"	"ITSky"
"Mafab Communications Limited"	"Mafab"
"MTN Nig Comm. Ltd (fmr Visafone)"	"MTN"
"NATCOM Dev. & Inv. Ltd (nTel)"	"NATCOM"
"Openskys Services Limited"	"Openskys"
"Reston Communication Services Ltd"	"Reston"
"Smile Communications Nigeria Ltd"	"Smile"
"Telewyz Limited"	"Telewyz"
"Telvida International Systems Ltd"	"Telvida"
